Ciclo,CE_media,CE_min,CE_max,CE_mediana,CP_media,CP_desvio,CP_min,CP_max,CP_mediana,EPS1_media,EPS1_desvio,EPS1_min,EPS1_max,EPS1_mediana,FS1_media,FS1_desvio,FS1_max,FS1_mediana,FS2_media,FS2_desvio,FS2_min,FS2_max,FS2_mediana,PS1_media,PS1_desvio,PS1_min,PS1_max,PS1_mediana,PS2_media,PS2_desvio,PS2_min,PS2_max,PS2_mediana,PS3_media,PS3_desvio,PS3_min,PS3_max,PS3_mediana,PS4_media,PS4_desvio,PS4_min,PS4_max,PS4_mediana,PS5_media,PS5_min,PS5_max,PS5_mediana,PS6_media,PS6_min,PS6_max,PS6_mediana,SE_media,SE_desvio,SE_min,SE_max,SE_mediana,TS1_media,TS1_desvio,TS1_min,TS1_max,TS1_mediana,TS2_media,TS2_desvio,TS2_min,TS2_max,TS2_mediana,TS3_media,TS3_desvio,TS3_min,TS3_max,TS3_mediana,TS4_media,TS4_desvio,TS4_min,TS4_max,TS4_mediana,VS1_media,VS1_desvio,VS1_min,VS1_max,VS1_mediana,Cooler_condition,Valve_condition,Pump_leakage,Accumulator_pressure,Stable_flag
1,39.60135,28.866,47.438,40.6755,1.86275,0.2793851375516346,1.383,2.188,1.924,2538.929166666667,185.61612099536995,2339.8,2951.6,2479.8,6.709815,3.015427901612756,18.71,7.836,10.304591666666669,0.0917715185478715,10.148,10.446,10.327,160.67349166666665,13.939308553347262,145.83,191.51,156.25,109.4669135,47.114507712259,0.0,156.99,129.365,1.9914753333333333,0.9457048337952336,0.0,10.039,2.297,0.0,0.0,0.0,0.0,0.0,9.8421695,9.681,10.016,9.844,9.7280975,9.568,9.887,9.733,59.157183333333336,23.76398403544755,0.0,79.568,68.5145,35.62198333333333,0.3082298554412239,35.156,36.152,35.572,40.978766666666665,0.1543017478142475,40.773,41.25,40.963,38.47101666666666,0.0846589352090709,38.316,38.613,38.496,31.74525,1.1164783712145203,30.363,33.594,31.576,0.57695,0.0270783076606111,0.532,0.624,0.577,3,100,0,130,1
2,25.78643333333333,23.32,29.208,25.3855,1.25555,0.0746050448151088,1.147,1.414,1.234,2531.4989,189.9400889535673,2332.0,2947.4,2470.0,6.715315,3.006248134389032,18.712,7.853,10.403098333333334,0.0191618708040232,10.352,10.453,10.403,160.60332,14.118967490038488,145.73,191.47,156.06,109.35489033333332,47.045611023718976,0.0,157.56,129.385,1.9762343333333328,0.94196702617499,0.0,9.992,2.273,0.0,0.0,0.0,0.0,0.0,9.635142166666666,9.557,9.745,9.632,9.529487833333334,9.454,9.637,9.526,59.33561666666667,23.857918122119354,0.0,80.441,68.536,36.676966666666665,0.5857401797658175,35.648,37.488,36.7675,41.53276666666667,0.3382344672002831,41.031,42.105,41.518,38.978966666666665,0.1769205477777719,38.668,39.254,38.9845,34.49386666666667,0.4353124911735859,33.648,35.148,34.553,0.56585,0.0272408124769945,0.524,0.626,0.5595000000000001,3,100,0,130,1
3,22.21823333333333,21.22,23.554,22.104,1.1132166666666667,0.0232634809953839,1.076,1.159,1.1095000000000002,2519.928,190.7368495780621,2318.6,2939.8,2457.4,6.718521666666667,3.014248300027874,18.698,7.846999999999999,10.36625,0.0263611902979229,10.296,10.443,10.367,160.34771999999998,14.192618544104327,145.37,191.41,155.72,109.15884466666668,46.99206026756251,0.0,156.97,129.325,1.972224,0.943500834902429,0.0,10.914,2.273,0.0,0.0,0.0,0.0,0.0,9.530547833333332,9.455,9.64,9.528,9.427948833333334,9.348,9.536,9.425,59.54315,23.92338052455968,0.0,80.824,68.85300000000001,37.8808,0.5591690808842706,36.879,38.621,38.0235,42.44245,0.3905882319645012,41.832,43.039,42.4235,39.63195,0.2511332568814147,39.234,40.062,39.627,35.64615,0.2938892230479497,35.098,36.141,35.635,0.5765333333333333,0.0367291814278725,0.529,0.662,0.562,3,100,0,130,1
4,20.459816666666665,19.673,21.565,20.4805,1.06215,0.0246210775074349,1.022,1.107,1.0659999999999998,2511.5416333333333,191.2706066131408,2310.8,2929.6,2448.0,6.720565,3.020175558326621,18.896,7.843,10.302678333333333,0.0267496561484948,10.241,10.382,10.302,160.18808833333333,14.22780296081268,145.14,191.34,155.56,109.06480716666668,46.97222148961312,0.0,156.44,128.865,1.9465755,0.9355342055075776,0.0,10.297,2.242,0.0,0.0,0.0,0.0,0.0,9.438826666666667,9.363,9.535,9.436,9.3374295,9.257,9.431,9.335,59.7949,24.023004578380306,0.0,80.93,69.006,38.87905,0.5161757493696226,37.887,39.473,39.055,43.403983333333336,0.3984757607695843,42.805,43.988,43.365,40.40338333333333,0.2854337817871401,40.023,40.934,40.342,36.57946666666667,0.2623967410573362,36.105,36.988,36.635000000000005,0.5692666666666667,0.0334638011693316,0.527,0.645,0.555,3,100,0,130,1
5,19.787016666666663,19.133,20.46,19.7985,1.070466666666667,0.0214771985253472,1.016,1.106,1.0725,2503.4495,191.25836911634124,2301.8,2923.8,2440.6,6.690308333333333,3.0115502532988114,18.876,7.831,10.23775,0.0291704592494119,10.179,10.312,10.236,160.00047166666667,14.276434046674412,144.95,191.41,155.34,108.93143433333334,46.8749462197508,0.0,158.13,129.0,1.922707,0.9303354813375894,0.0,11.102,2.219,0.0,0.0,0.0,0.0,0.0,9.358762,9.29,9.443,9.358,9.260636166666668,9.195,9.342,9.26,59.45526666666667,23.972261687962572,0.0,81.1,69.013,39.803916666666666,0.5353736630051424,38.789,40.391,39.967,44.33275,0.3727689166953754,43.742,44.887,44.3355,41.31055,0.2935792807195244,40.859,41.777,41.34,37.4279,0.239570569200633,36.992,37.781,37.439,0.5773666666666667,0.033483599155846,0.524,0.66,0.576,3,100,0,130,1
6,19.14968333333333,18.588,19.651,19.162,1.0720833333333333,0.0211317831686537,1.024,1.109,1.074,2501.0070666666666,191.5185712942416,2297.0,2920.6,2437.8,6.699023333333334,3.004857476966869,18.96,7.8395,10.17872,0.0224471540410155,10.126,10.256,10.177,159.92021,14.276070682144438,144.71,191.28,155.23,108.88768166666668,46.84425876169329,0.0,156.55,128.93,1.9132845,0.9326029533539508,0.0,11.453,2.211,0.0,0.0,0.0,0.0,0.0,9.301159666666669,9.233,9.381,9.3,9.206877,9.141,9.287,9.206,59.56333333333334,23.98216801996544,0.0,80.946,68.934,40.65945,0.5104791177521528,39.633,41.227,40.7695,45.17061666666667,0.3699696777161316,44.605,45.687,45.133,42.124116666666666,0.2663306274301645,41.746,42.609,42.168,38.21206666666667,0.2129950159890105,37.824,38.586,38.262,0.5726833333333333,0.0307314732209127,0.525,0.643,0.5665,3,100,0,130,1
7,18.66638333333333,18.348,19.415,18.6075,1.081683333333333,0.0126524489043361,1.053,1.11,1.08,2494.4169,193.34185518545075,2290.0,2921.6,2431.6,6.698573333333333,3.0125156977744982,19.208,7.817,10.14081,0.017606643343251,10.091,10.2,10.141,159.672675,14.371118645958983,144.49,191.19,154.97,108.6764655,46.78938870960427,0.0,155.04,128.675,1.8880996666666667,0.9157996183063392,0.0,10.312,2.172,0.0,0.0,0.0,0.0,0.0,9.233941833333333,9.17,9.302,9.233,9.143320166666667,9.075,9.208,9.144,59.7899,24.04009519263986,0.0,80.848,69.113,41.46363333333333,0.5104826883854584,40.539,42.062,41.566,45.94723333333333,0.3421609476902503,45.363,46.457,45.947,42.88811666666666,0.201949657400774,42.598,43.203,42.9005,38.9321,0.1943069125666503,38.562,39.242,38.928,0.5730333333333333,0.032888082776297,0.518,0.649,0.566,3,100,0,130,1
8,18.17843333333333,17.418,18.788,18.1685,1.0787000000000002,0.0185383706522627,1.033,1.105,1.079,2489.4215333333336,192.12302669352223,2285.0,2913.0,2425.8,6.678026666666667,3.004714545252673,19.333,7.802,10.095978333333337,0.0188207748644886,10.049,10.156,10.096,159.61445166666667,14.387503982431117,144.41,191.17,154.91,108.65174466666666,46.806641202471496,0.0,159.09,128.72,1.8748941666666663,0.9175596581441916,0.0,10.398,2.164,0.0,0.0,0.0,0.0,0.0,9.194159166666669,9.125,9.26,9.194,9.105058166666668,9.04,9.172,9.105,59.59061666666666,23.962330519699258,0.0,81.01,69.0555,42.21526666666667,0.4825752199790828,41.227,42.734,42.3535,46.665233333333326,0.3235084347349053,46.187,47.117,46.6795,43.51988333333334,0.1592879379461644,43.273,43.875,43.488,39.55896666666667,0.1714004100490108,39.227,39.828,39.551,0.572,0.0379491184775132,0.525,0.669,0.562,3,100,0,130,1
9,18.334866666666667,17.587,19.081,18.351,1.1150833333333334,0.0228549528561424,1.073,1.168,1.1105,2484.419066666667,193.52966557706867,2279.8,2909.4,2421.6,6.6716516666666665,3.01383358063284,19.577,7.792,10.03971,0.0193071794582004,9.991,10.098,10.038,159.475745,14.43029029592414,144.12,191.14,154.77,108.5297385,46.76966521659662,0.0,167.22,128.77,1.8581203333333332,0.9143539161801042,0.0,10.789,2.141,0.0,0.0,0.0,0.0,0.0,9.144616166666667,9.085,9.206,9.144,9.057066833333334,9.0,9.119,9.057,59.60888333333333,23.995262724618087,0.0,81.186,69.0175,42.89198333333333,0.4555136974132277,41.977,43.41,43.0215,47.33943333333333,0.3130519189444385,46.855,47.789,47.2775,44.20125,0.1775105272600312,43.875,44.457,44.211,40.08053333333333,0.1787013858668591,39.789,40.402,40.078,0.5670666666666667,0.0325617362354446,0.516,0.65,0.559,3,100,0,130,1
10,18.20573333333333,17.72,18.746,18.1735,1.129133333333333,0.0152008771676725,1.108,1.163,1.128,2480.4348666666665,192.7952511840675,2274.0,2905.4,2417.4,6.6599900000000005,3.0106461327752645,19.432,7.8,9.997761666666667,0.0156770899448048,9.962,10.053,9.996,159.43799666666666,14.415517657887865,144.16,191.16,154.77,108.51088516666668,46.75187690994248,0.0,162.14,128.49,1.8410633333333333,0.9115543885159916,0.0,10.758,2.117,0.0,0.0,0.0,0.0,0.0,9.1048315,9.052,9.173,9.106,9.019264666666666,8.965,9.087,9.019,59.473733333333335,23.969264811891893,0.0,80.907,69.0075,43.53283333333333,0.4566669285330598,42.641,44.012,43.623000000000005,47.98141666666666,0.3178963849777356,47.449,48.422,47.967,44.797133333333335,0.1748527192992081,44.527,45.129,44.8165,40.612550000000006,0.1664479788432776,40.375,40.918,40.650000000000006,0.5716833333333333,0.0318143404754365,0.516,0.653,0.5665,3,100,0,130,1
